id	registered_utc	family	rule	params	spec_sha	code_sha	split_sha	outcome_law_sha	null_seed	parent_trial	selection_rule	days	coverage	delay_med_s	err_rate_hg	err_rate_nkd	err_rate_si	walls_hg	walls_nkd	walls_si	hg_usd_day	nkd_usd_day	si_usd_day	mdd_hg	mdd_nkd	mdd_si	replay_skips	null_margin	verdict	note
sweep1-011	2026-08-27T17:32:17+00:00	FAM-XR	Q10_B0.15_R30	[10, 0.15, 30]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.871667	840	0.514793	0.463576	0.421769												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-012	2026-08-27T17:32:17+00:00	FAM-XR	Q10_B0.15_R60	[10, 0.15, 60]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.871667	840	0.514793	0.463576	0.421769												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-013	2026-08-27T17:32:17+00:00	FAM-XR	Q10_B0.25_R120	[10, 0.25, 120]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.86	840	0.497006	0.470199	0.445205												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-014	2026-08-27T17:32:17+00:00	FAM-XR	Q10_B0.25_R30	[10, 0.25, 30]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.86	840	0.497006	0.470199	0.445205												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-015	2026-08-27T17:32:17+00:00	FAM-XR	Q10_B0.25_R60	[10, 0.25, 60]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.86	840	0.497006	0.470199	0.445205												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-016	2026-08-27T17:32:17+00:00	FAM-XR	Q10_B0.35_R120	[10, 0.35, 120]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.87	900	0.497076	0.476821	0.44898												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-017	2026-08-27T17:32:17+00:00	FAM-XR	Q10_B0.35_R30	[10, 0.35, 30]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.87	900	0.497076	0.476821	0.44898												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-018	2026-08-27T17:32:17+00:00	FAM-XR	Q10_B0.35_R60	[10, 0.35, 60]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.87	900	0.497076	0.476821	0.44898												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-019	2026-08-27T17:32:17+00:00	FAM-XR	Q10_B0.5_R120	[10, 0.5, 120]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.866667	900	0.497041	0.474026	0.472222												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-020	2026-08-27T17:32:17+00:00	FAM-XR	Q10_B0.5_R30	[10, 0.5, 30]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.866667	900	0.497041	0.474026	0.472222												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-021	2026-08-27T17:32:17+00:00	FAM-XR	Q10_B0.5_R60	[10, 0.5, 60]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.866667	900	0.497041	0.474026	0.472222												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-022	2026-08-27T17:32:17+00:00	FAM-XR	Q20_B0.15_R120	[20, 0.15, 120]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.86	1560	0.515337	0.525641	0.463768												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-023	2026-08-27T17:32:17+00:00	FAM-XR	Q20_B0.15_R30	[20, 0.15, 30]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.86	1560	0.515337	0.525641	0.463768												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-024	2026-08-27T17:32:17+00:00	FAM-XR	Q20_B0.15_R60	[20, 0.15, 60]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.86	1560	0.515337	0.525641	0.463768												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-025	2026-08-27T17:32:17+00:00	FAM-XR	Q20_B0.25_R120	[20, 0.25, 120]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.86	1560	0.5	0.528662	0.478571												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-026	2026-08-27T17:32:17+00:00	FAM-XR	Q20_B0.25_R30	[20, 0.25, 30]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.86	1560	0.5	0.528662	0.478571												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-027	2026-08-27T17:32:17+00:00	FAM-XR	Q20_B0.25_R60	[20, 0.25, 60]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.86	1560	0.5	0.528662	0.478571												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-028	2026-08-27T17:32:17+00:00	FAM-XR	Q20_B0.35_R120	[20, 0.35, 120]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.871667	1620	0.493976	0.515723	0.478873												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-029	2026-08-27T17:32:17+00:00	FAM-XR	Q20_B0.35_R30	[20, 0.35, 30]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.871667	1620	0.493976	0.515723	0.478873												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-030	2026-08-27T17:32:17+00:00	FAM-XR	Q20_B0.35_R60	[20, 0.35, 60]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.871667	1620	0.493976	0.515723	0.478873												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-031	2026-08-27T17:32:17+00:00	FAM-XR	Q20_B0.5_R120	[20, 0.5, 120]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.881667	1620	0.52381	0.521739	0.486111												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-032	2026-08-27T17:32:17+00:00	FAM-XR	Q20_B0.5_R30	[20, 0.5, 30]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.881667	1620	0.52381	0.521739	0.486111												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-033	2026-08-27T17:32:17+00:00	FAM-XR	Q20_B0.5_R60	[20, 0.5, 60]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.881667	1620	0.52381	0.521739	0.486111												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-034	2026-08-27T17:32:17+00:00	FAM-XR	Q2_B0.15_R120	[2, 0.15, 120]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.856667	660	0.502994	0.47651	0.479167												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-035	2026-08-27T17:32:17+00:00	FAM-XR	Q2_B0.15_R30	[2, 0.15, 30]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.856667	660	0.502994	0.47651	0.479167												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-036	2026-08-27T17:32:17+00:00	FAM-XR	Q2_B0.15_R60	[2, 0.15, 60]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.856667	660	0.502994	0.47651	0.479167												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-037	2026-08-27T17:32:17+00:00	FAM-XR	Q2_B0.25_R120	[2, 0.25, 120]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.841667	660	0.49697	0.496644	0.482014												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-038	2026-08-27T17:32:17+00:00	FAM-XR	Q2_B0.25_R30	[2, 0.25, 30]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.841667	660	0.49697	0.496644	0.482014												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-039	2026-08-27T17:32:17+00:00	FAM-XR	Q2_B0.25_R60	[2, 0.25, 60]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.841667	660	0.49697	0.496644	0.482014												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-040	2026-08-27T17:32:17+00:00	FAM-XR	Q2_B0.35_R120	[2, 0.35, 120]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.833333	600	0.493902	0.493243	0.5												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-041	2026-08-27T17:32:17+00:00	FAM-XR	Q2_B0.35_R30	[2, 0.35, 30]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.833333	600	0.493902	0.493243	0.5												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-042	2026-08-27T17:32:17+00:00	FAM-XR	Q2_B0.35_R60	[2, 0.35, 60]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.833333	600	0.493902	0.493243	0.5												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
sweep1-043	2026-08-27T17:32:17+00:00	FAM-XR	Q2_B0.5_R120	[2, 0.5, 120]	97f4c533c135dc3510cf5398b468fbaf4a1d2ed1c99e7a251ae80a7f1709b42c	de566c1b5de7fbfd8271bcede85b277cc6a3a4421af1b1789c490b36396de717	b6d2decb1f3d6495e003a1a29a229195f4d4c1bdc0134d4195a1cc2c1c38f08f	64df3f7006ae02445de56f13ddd1f563a0db50f96eaec60e6a7a760e9901a720	20260827	frontier-1	errbudget>coverage>delay>simplicity	195	0.833333	600	0.484848	0.479452	0.517986												UNRESOLVED	stage-A no-cash | relabel vs remaining-best pending
